content-economics-nobel-recent-all	RETIRE		Holmström is the only accessible Finnish entry in an otherwise specialist list; excessive difficulty, not a fun general Daily.
content-food-finnish-protected-names-all	REWRITE	Nimeä suomalainen EU-nimisuojattu elintarvike vuoden 2024 luettelosta.	Karjalanpiirakka/kalakukko provide entry; protected ham and reindeer products provide tail. Source version must remain explicit.
content-world-new-seven-wonders-all	HARD		Great Wall/Colosseum provide entry but proprietary modern-vote list versus ancient wonders requires extra knowledge.
content-society-asean-all	RETIRE		Obscure organisation membership rather than familiar broad geography; entry depends on knowing ASEAN.
content-society-gulf-cooperation-all	RETIRE		Specialist treaty membership; use familiar geographic universes instead.
content-society-baltic-sea-council-all	RETIRE		Obscure council with non-coastal members; Iceland maximum rewards a bureaucratic exception.
content-world-brics-all	HARD		Brazil/China/India supply entry through familiar acronym; expanded dated membership is harder and needs precise source verification.
content-world-eea-countries-all	RETIRE		EEA/EU distinction adds institutional complexity and largely duplicates European membership questions.
content-geo-mediterranean-coasts-all	KEEP		Italy/Spain/Greece give entry; Bosnia's short coastline supplies real recall depth.
content-geo-red-sea-coasts-all	HARD		Egypt gives entry but gulf inclusion and Jordan/Djibouti salience need explicit source and rarity correction before approval.
content-geo-persian-gulf-coasts-all	HARD		Iran/Saudi Arabia give entry; Strait of Hormuz/Oman boundary needs source inspection. Bahrain/Oman offer plausible tail.
content-geo-alpine-countries-all	RETIRE		Treaty signatories are not the same universe as alpine geography; Monaco 100 rewards obscure administrative membership.
content-tech-android-releases-all	HARD		Oreo/KitKat offer entry for Android users; older version branding is unlikely to meet conservative standard accessibility target.
content-fi-museums-all	RETIRE		Only three museums; arbitrary exceptional score for Sinebrychoff cannot provide enough rarity strategy.
content-film-disney-renaissance-all	REWRITE	Nimeä Disneyn klassikkoanimaatio vuosilta 1989–1999.	Lion King/Aladdin give entry; Rescuers Down Under supplies genuine tail. Official feature-animation canon must exclude direct-to-video sequels explicitly.
content-history-finnish-presidential-eras-early	RETIRE		Date-filtered duplicate of stronger all-presidents question; only six answers and added interpretation cost.
content-film-franchise-groups-lotr	RETIRE		Six very familiar films; Battle of Five Armies is not honestly exceptional recall for this exact franchise prompt.
content-history-us-presidents-all	KEEP		Obama/Trump/Washington give immediate entry; dozens of less prominent presidents provide excellent tail.
content-history-us-presidents-founding-era	RETIRE		Only five answers; narrow historical office-holder filter adds difficulty and duplicates the complete universe.
content-history-us-presidents-modern	RETIRE		Seven extremely prominent modern presidents; George H. W. Bush is not a defensible exceptional maximum in this prompt.
content-history-french-presidents-all	HARD		Macron/Sarkozy provide entry, but Fifth Republic terminology and foreign office-holder recall make this hard. Giscard provides tail.
content-history-uk-monarchs-all	HARD		Elizabeth/Charles/Victoria offer entry; 1707 scope and regnal numerals create historical interpretation burden. William IV credible tail.
content-history-roman-emperors-all	HARD		Nero/Augustus provide entry; first-century filter is harder. Caligula is over-rewarded while Claudius/Tiberius are under-rewarded; revise before approval.
games-elder-scrolls-anthology	RETIRE		Only five games and collection-specific scope; strong franchise but this universe fails minimum size.
games-orange-box-steam	RETIRE		Steam bonus-package membership contradicts familiar five-game Orange Box understanding; obscure Lost Coast tail depends on storefront packaging.
digital-historic-generic-tlds	RETIRE		1994 DNS-standard trivia and .int tail require specialist knowledge despite familiar .com entry.
